code,page Url,audio Url
LS,https://macaulaylibrary.org/asset/14177,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14177/audio
BG,https://macaulaylibrary.org/asset/402924241,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/402924241/audio
BG,https://macaulaylibrary.org/asset/286915751,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/286915751/audio
BG,https://macaulaylibrary.org/asset/243943201,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/243943201/audio
BG,https://macaulaylibrary.org/asset/218658781,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218658781/audio
BG,https://macaulaylibrary.org/asset/165702361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/165702361/audio
BG,https://macaulaylibrary.org/asset/163239191,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/163239191/audio
BG,https://macaulaylibrary.org/asset/163236011,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/163236011/audio
BG,https://macaulaylibrary.org/asset/163039581,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/163039581/audio
BG,https://macaulaylibrary.org/asset/143467491,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/143467491/audio
BG,https://macaulaylibrary.org/asset/135238091,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/135238091/audio
BG,https://macaulaylibrary.org/asset/90942951,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90942951/audio
BG,https://macaulaylibrary.org/asset/62267501,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/62267501/audio
BG,https://macaulaylibrary.org/asset/28866411,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/28866411/audio
BG,https://macaulaylibrary.org/asset/28857371,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/28857371/audio
PAL,https://macaulaylibrary.org/asset/441777221,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441777221/audio
PAL,https://macaulaylibrary.org/asset/406316361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/406316361/audio
PAL,https://macaulaylibrary.org/asset/201008421,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201008421/mp4/1280
PAL,https://macaulaylibrary.org/asset/203980891,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203980891/audio
PAL,https://macaulaylibrary.org/asset/163239141,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/163239141/audio
PAL,https://macaulaylibrary.org/asset/162791821,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/162791821/audio
PAL,https://macaulaylibrary.org/asset/162784031,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/162784031/audio
PAL,https://macaulaylibrary.org/asset/155097941,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/155097941/audio
PAL,https://macaulaylibrary.org/asset/154071851,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/154071851/audio
PAL,https://macaulaylibrary.org/asset/146757131,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/146757131/audio
PAL,https://macaulaylibrary.org/asset/118361561,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/118361561/audio
PAL,https://macaulaylibrary.org/asset/110826571,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110826571/audio
PAL,https://macaulaylibrary.org/asset/109243971,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/109243971/audio
